transformer_id,region,zone_type,lat,lon,supply_kwh,meter_sum_kwh,loss_percent,risk_score,status,is_anomaly
TX-0032,Patiala,Residential/Institutional,30.30867,76.36479,158.46,138.71,12.47,24.9,SAFE,0
TX-0033,Ludhiana,Industrial/Urban,30.9152,75.81571,324.52,292.8,9.77,19.5,SAFE,0
TX-0034,Mullanpur,Rural/Agricultural,30.81511,76.69067,61.15,50.45,17.5,35.0,WARNING,0
TX-0035,Bathinda,Thermal/Industrial,30.18343,74.96672,45.24,40.86,9.68,19.4,SAFE,0
TX-0036,Patiala,Residential/Institutional,30.35556,76.39373,289.13,265.05,8.33,16.7,SAFE,0
TX-0037,Mullanpur,Rural/Agricultural,30.8184,76.63261,85.0,72.01,15.28,30.6,WARNING,0
TX-0038,Ludhiana,Industrial/Urban,30.90869,75.85655,39.92,36.04,9.72,19.4,SAFE,0
TX-0039,Ludhiana,Industrial/Urban,30.85536,75.90676,86.53,60.12,30.51,70.4,CRITICAL,1
TX-0040,Bathinda,Thermal/Industrial,30.20382,74.99217,174.74,158.51,9.29,18.6,SAFE,0
TX-0041,Ludhiana,Industrial/Urban,30.88269,75.82425,43.24,38.03,12.05,24.1,SAFE,0
TX-0042,Mullanpur,Rural/Agricultural,30.73082,76.6548,67.48,57.41,14.92,29.8,SAFE,0
TX-0043,Amritsar,Commercial/Old City,31.65808,74.892,157.37,140.96,10.43,20.9,SAFE,0
TX-0044,Amritsar,Commercial/Old City,31.66501,74.90901,36.92,32.28,12.58,25.2,SAFE,0
TX-0045,Jalandhar,Mixed Urban,31.341,75.5964,230.5,211.64,8.18,16.4,SAFE,0
TX-0046,Amritsar,Commercial/Old City,31.5934,74.88013,66.5,56.6,14.88,29.8,SAFE,0
TX-0047,Mullanpur,Rural/Agricultural,30.78018,76.59635,228.97,191.21,16.49,33.0,WARNING,0
TX-0048,Bathinda,Thermal/Industrial,30.21322,74.9725,347.55,303.16,12.77,25.5,SAFE,0
TX-0049,Jalandhar,Mixed Urban,31.31714,75.59615,316.94,209.58,33.87,79.0,CRITICAL,1
TX-0050,Ludhiana,Industrial/Urban,30.89088,75.85065,58.51,51.34,12.26,24.5,SAFE,0
TX-0051,Ludhiana,Industrial/Urban,30.91985,75.81312,61.01,55.17,9.57,19.1,SAFE,0
TX-0052,Ludhiana,Industrial/Urban,30.91702,75.83529,290.14,264.51,8.83,17.7,SAFE,0
TX-0053,Bathinda,Thermal/Industrial,30.20296,74.92027,244.31,221.04,9.52,19.0,SAFE,0
TX-0054,Jalandhar,Mixed Urban,31.2806,75.53027,87.34,80.26,8.11,16.2,SAFE,0
TX-0055,Amritsar,Commercial/Old City,31.63316,74.86965,44.65,40.71,8.81,17.6,SAFE,0
TX-0056,Mullanpur,Rural/Agricultural,30.78461,76.59783,112.98,75.1,33.52,85.1,CRITICAL,1
TX-0057,Bathinda,Thermal/Industrial,30.17729,74.90256,172.43,152.71,11.44,22.9,SAFE,0
TX-0058,Jalandhar,Mixed Urban,31.33355,75.56502,240.45,208.39,13.33,26.7,SAFE,0
TX-0059,Jalandhar,Mixed Urban,31.31461,75.62232,62.61,56.73,9.39,18.8,SAFE,0
TX-0060,Mullanpur,Rural/Agricultural,30.72292,76.60274,133.54,112.83,15.51,31.0,WARNING,0
TX-0061,Amritsar,Commercial/Old City,31.58633,74.90375,45.28,40.41,10.76,21.5,SAFE,0
TX-0062,Patiala,Residential/Institutional,30.37755,76.41041,54.79,49.61,9.45,18.9,SAFE,0
TX-0063,Patiala,Residential/Institutional,30.38885,76.37816,64.0,56.11,12.34,24.7,SAFE,0
TX-0064,Bathinda,Thermal/Industrial,30.18486,74.96348,160.29,139.19,13.17,26.3,SAFE,0
TX-0065,Mullanpur,Rural/Agricultural,30.77076,76.63226,53.33,46.36,13.07,26.1,SAFE,0
TX-0066,Ludhiana,Industrial/Urban,30.93571,75.84279,345.61,223.99,35.19,87.7,CRITICAL,1
TX-0067,Bathinda,Thermal/Industrial,30.17017,74.95574,310.08,271.49,12.45,24.9,SAFE,0
TX-0068,Ludhiana,Industrial/Urban,30.86235,75.90039,57.84,52.71,8.87,17.7,SAFE,0
TX-0069,Bathinda,Thermal/Industrial,30.19609,74.90721,312.07,271.7,12.93,25.9,SAFE,0
TX-0070,Mullanpur,Rural/Agricultural,30.72951,76.6634,68.69,59.11,13.95,27.9,SAFE,0
TX-0071,Bathinda,Thermal/Industrial,30.16948,74.99416,334.48,304.92,8.84,17.7,SAFE,0
TX-0072,Ludhiana,Industrial/Urban,30.91019,75.84232,234.69,212.09,9.63,19.3,SAFE,0
TX-0073,Patiala,Residential/Institutional,30.31467,76.36993,71.76,64.77,9.75,19.5,SAFE,0
TX-0074,Amritsar,Commercial/Old City,31.6581,74.89902,153.55,134.68,12.29,24.6,SAFE,0
TX-0075,Mullanpur,Rural/Agricultural,30.76112,76.64107,52.79,42.62,19.26,38.5,WARNING,0
TX-0076,Jalandhar,Mixed Urban,31.37379,75.5818,169.03,144.6,14.45,28.9,SAFE,0
TX-0077,Bathinda,Thermal/Industrial,30.1863,74.96504,45.83,40.41,11.82,23.6,SAFE,0
TX-0078,Ludhiana,Industrial/Urban,30.91376,75.86573,318.35,178.12,44.05,71.6,CRITICAL,1
TX-0079,Mullanpur,Rural/Agricultural,30.76667,76.65531,245.72,207.57,15.52,31.0,WARNING,0
TX-0080,Jalandhar,Mixed Urban,31.33437,75.53397,40.52,37.19,8.21,16.4,SAFE,0
TX-0081,Ludhiana,Industrial/Urban,30.88195,75.88868,258.68,241.88,6.5,13.0,SAFE,0
TX-0082,Mullanpur,Rural/Agricultural,30.81608,76.66587,170.83,138.89,18.7,37.4,WARNING,0
TX-0083,Patiala,Residential/Institutional,30.29432,76.33954,50.96,44.28,13.1,26.2,SAFE,0
TX-0084,Patiala,Residential/Institutional,30.34921,76.37499,82.53,76.66,7.11,14.2,SAFE,0
TX-0085,Ludhiana,Industrial/Urban,30.89248,75.83464,233.65,211.51,9.47,18.9,SAFE,0
TX-0086,Bathinda,Thermal/Industrial,30.26066,74.95104,49.92,45.05,9.76,19.5,SAFE,0
TX-0087,Bathinda,Thermal/Industrial,30.20605,74.90842,129.58,112.73,13.01,26.0,SAFE,0
TX-0088,Amritsar,Commercial/Old City,31.61982,74.83366,71.94,61.94,13.9,27.8,SAFE,0
TX-0089,Amritsar,Commercial/Old City,31.66922,74.87749,37.06,32.49,12.33,24.7,SAFE,0
TX-0090,Bathinda,Thermal/Industrial,30.22303,74.96591,169.8,146.58,13.67,27.3,SAFE,0
TX-0091,Amritsar,Commercial/Old City,31.64299,74.86152,117.82,103.62,12.06,24.1,SAFE,0
TX-0092,Ludhiana,Industrial/Urban,30.92937,75.84695,145.51,129.25,11.18,22.4,SAFE,0
TX-0093,Amritsar,Commercial/Old City,31.67666,74.87151,232.48,203.34,12.54,25.1,SAFE,0
TX-0094,Amritsar,Commercial/Old City,31.61688,74.88564,267.72,236.96,11.49,23.0,SAFE,0
TX-0095,Patiala,Residential/Institutional,30.30368,76.40099,313.15,274.37,12.38,24.8,SAFE,0
TX-0096,Patiala,Residential/Institutional,30.35656,76.35413,63.16,57.51,8.94,17.9,SAFE,0
TX-0097,Amritsar,Commercial/Old City,31.6017,74.83117,46.05,39.46,14.31,28.6,SAFE,0
TX-0098,Ludhiana,Industrial/Urban,30.90134,75.87634,37.14,33.25,10.47,20.9,SAFE,0
TX-0099,Mullanpur,Rural/Agricultural,30.7368,76.63103,40.86,33.56,17.86,35.7,WARNING,0
TX-0100,Bathinda,Thermal/Industrial,30.25963,74.94916,286.02,258.28,9.7,19.4,SAFE,0
TX-0101,Amritsar,Commercial/Old City,31.65875,74.82597,241.04,207.32,13.99,28.0,SAFE,0
TX-0102,Patiala,Residential/Institutional,30.34301,76.34762,67.33,62.36,7.38,14.8,SAFE,0
TX-0103,Bathinda,Thermal/Industrial,30.17923,74.9519,39.54,36.35,8.08,16.2,SAFE,0
TX-0104,Ludhiana,Industrial/Urban,30.88529,75.8547,81.25,75.92,6.56,13.1,SAFE,0
TX-0105,Mullanpur,Rural/Agricultural,30.77978,76.66784,46.66,39.57,15.19,30.4,WARNING,0
TX-0106,Jalandhar,Mixed Urban,31.34059,75.58328,287.78,247.29,14.07,28.1,SAFE,0
TX-0107,Bathinda,Thermal/Industrial,30.17118,74.91079,143.22,131.95,7.87,15.7,SAFE,0
TX-0108,Mullanpur,Rural/Agricultural,30.73844,76.68298,115.3,95.09,17.53,35.1,WARNING,0
TX-0109,Mullanpur,Rural/Agricultural,30.76089,76.69025,224.68,149.89,33.29,90.2,CRITICAL,1
TX-0110,Mullanpur,Rural/Agricultural,30.81404,76.64898,285.01,244.16,14.33,28.7,SAFE,0
TX-0111,Amritsar,Commercial/Old City,31.61637,74.86484,50.12,43.56,13.1,26.2,SAFE,0
TX-0112,Mullanpur,Rural/Agricultural,30.74996,76.65142,171.65,142.71,16.86,33.7,WARNING,0
TX-0113,Mullanpur,Rural/Agricultural,30.75476,76.60674,147.13,121.46,17.45,34.9,WARNING,0
TX-0114,Jalandhar,Mixed Urban,31.30146,75.59435,37.63,33.14,11.94,23.9,SAFE,0
TX-0115,Patiala,Residential/Institutional,30.32469,76.42985,79.87,69.68,12.76,25.5,SAFE,0
TX-0116,Patiala,Residential/Institutional,30.38363,76.35502,171.29,159.28,7.01,14.0,SAFE,0
TX-0117,Bathinda,Thermal/Industrial,30.17498,74.97503,81.59,74.64,8.51,17.0,SAFE,0
TX-0118,Patiala,Residential/Institutional,30.35632,76.38921,264.47,235.01,11.14,22.3,SAFE,0
TX-0119,Mullanpur,Rural/Agricultural,30.81107,76.65571,50.35,43.05,14.51,29.0,SAFE,0
TX-0120,Ludhiana,Industrial/Urban,30.89015,75.86049,53.55,49.93,6.76,13.5,SAFE,0
TX-0121,Mullanpur,Rural/Agricultural,30.75438,76.66635,60.46,50.16,17.03,34.1,WARNING,0
TX-0122,Jalandhar,Mixed Urban,31.35015,75.58352,38.34,34.65,9.62,19.2,SAFE,0
TX-0123,Ludhiana,Industrial/Urban,30.85435,75.86429,71.81,67.02,6.67,13.3,SAFE,0
TX-0124,Bathinda,Thermal/Industrial,30.17206,74.98015,301.31,268.74,10.81,21.6,SAFE,0
TX-0125,Bathinda,Thermal/Industrial,30.18393,74.96773,56.39,50.2,10.98,22.0,SAFE,0
TX-0126,Amritsar,Commercial/Old City,31.60918,74.85687,173.38,156.08,9.98,20.0,SAFE,0
TX-0127,Amritsar,Commercial/Old City,31.67873,74.83764,38.08,34.21,10.16,20.3,SAFE,0
TX-0128,Jalandhar,Mixed Urban,31.3353,75.53642,313.17,193.33,38.27,74.3,CRITICAL,1
TX-0129,Jalandhar,Mixed Urban,31.31344,75.53309,159.13,90.25,43.29,82.6,CRITICAL,1
TX-0130,Mullanpur,Rural/Agricultural,30.74469,76.60985,239.96,139.16,42.01,84.5,CRITICAL,1
TX-0131,Bathinda,Thermal/Industrial,30.19893,74.96992,81.69,73.96,9.47,18.9,SAFE,0
TX-0132,Jalandhar,Mixed Urban,31.32974,75.61819,70.9,61.0,13.97,27.9,SAFE,0
TX-0133,Patiala,Residential/Institutional,30.29308,76.42817,61.64,55.84,9.42,18.8,SAFE,0
TX-0134,Ludhiana,Industrial/Urban,30.88724,75.86536,63.04,57.15,9.35,18.7,SAFE,0
TX-0135,Ludhiana,Industrial/Urban,30.94711,75.82217,83.54,77.53,7.2,14.4,SAFE,0
TX-0136,Ludhiana,Industrial/Urban,30.88199,75.84703,125.43,116.24,7.33,14.7,SAFE,0
TX-0137,Bathinda,Thermal/Industrial,30.2235,74.93327,296.3,259.73,12.34,24.7,SAFE,0
TX-0138,Amritsar,Commercial/Old City,31.63644,74.86638,71.9,65.31,9.17,18.3,SAFE,0
TX-0139,Bathinda,Thermal/Industrial,30.16855,74.97082,64.66,58.23,9.96,19.9,SAFE,0
TX-0140,Jalandhar,Mixed Urban,31.35998,75.6129,227.47,205.85,9.5,19.0,SAFE,0
TX-0141,Patiala,Residential/Institutional,30.34035,76.3964,51.41,45.78,10.94,21.9,SAFE,0
TX-0142,Amritsar,Commercial/Old City,31.66453,74.92117,333.53,296.57,11.08,22.2,SAFE,0
TX-0143,Bathinda,Thermal/Industrial,30.17511,74.93614,169.37,156.06,7.86,15.7,SAFE,0
TX-0144,Bathinda,Thermal/Industrial,30.16365,74.91364,306.29,265.81,13.22,26.4,SAFE,0
TX-0145,Bathinda,Thermal/Industrial,30.19518,74.92144,67.62,59.03,12.7,25.4,SAFE,0
TX-0146,Bathinda,Thermal/Industrial,30.20194,74.9507,83.55,72.16,13.63,27.3,SAFE,0
TX-0147,Jalandhar,Mixed Urban,31.29001,75.61305,350.13,317.97,9.18,18.4,SAFE,0
TX-0148,Amritsar,Commercial/Old City,31.58625,74.84917,313.45,282.37,9.92,19.8,SAFE,0
TX-0149,Mullanpur,Rural/Agricultural,30.80459,76.69174,84.82,70.03,17.44,34.9,WARNING,0
TX-0150,Mullanpur,Rural/Agricultural,30.81253,76.60508,287.76,242.77,15.63,31.3,WARNING,0
TX-0151,Mullanpur,Rural/Agricultural,30.80407,76.61394,60.48,51.57,14.73,29.5,SAFE,0
TX-0152,Patiala,Residential/Institutional,30.34954,76.39695,45.24,39.75,12.15,24.3,SAFE,0
TX-0153,Bathinda,Thermal/Industrial,30.19931,74.94739,269.3,198.63,26.24,72.5,CRITICAL,1
TX-0154,Patiala,Residential/Institutional,30.31433,76.37583,279.96,171.91,38.6,87.1,CRITICAL,1
TX-0155,Mullanpur,Rural/Agricultural,30.76871,76.65967,60.32,51.42,14.75,29.5,SAFE,0
TX-0156,Jalandhar,Mixed Urban,31.2922,75.61035,45.29,40.68,10.17,20.3,SAFE,0
TX-0157,Amritsar,Commercial/Old City,31.63142,74.85674,317.21,276.05,12.97,25.9,SAFE,0
TX-0158,Amritsar,Commercial/Old City,31.62997,74.82989,81.58,73.2,10.27,20.5,SAFE,0
TX-0159,Amritsar,Commercial/Old City,31.59431,74.85376,170.71,145.65,14.68,29.4,SAFE,0
TX-0160,Ludhiana,Industrial/Urban,30.86951,75.86149,321.07,285.97,10.93,21.9,SAFE,0
TX-0161,Bathinda,Thermal/Industrial,30.23023,74.98042,53.49,47.18,11.81,23.6,SAFE,0
TX-0162,Ludhiana,Industrial/Urban,30.94541,75.81124,74.82,48.8,34.78,83.2,CRITICAL,1
TX-0163,Mullanpur,Rural/Agricultural,30.73315,76.6664,171.16,96.33,43.72,83.3,CRITICAL,1
TX-0164,Mullanpur,Rural/Agricultural,30.72659,76.63881,165.05,137.2,16.88,33.8,WARNING,0
TX-0165,Patiala,Residential/Institutional,30.34587,76.38501,156.56,138.7,11.41,22.8,SAFE,0
TX-0166,Jalandhar,Mixed Urban,31.33324,75.6066,325.21,285.96,12.07,24.1,SAFE,0
TX-0167,Bathinda,Thermal/Industrial,30.22259,74.9188,141.56,110.41,22.01,75.2,CRITICAL,1
TX-0168,Amritsar,Commercial/Old City,31.67791,74.90218,112.61,102.39,9.08,18.2,SAFE,0
TX-0169,Mullanpur,Rural/Agricultural,30.76909,76.65605,258.78,223.59,13.6,27.2,SAFE,0
TX-0170,Jalandhar,Mixed Urban,31.34976,75.55008,141.91,122.69,13.54,27.1,SAFE,0
TX-0171,Amritsar,Commercial/Old City,31.60736,74.82651,53.63,48.69,9.21,18.4,SAFE,0
TX-0172,Ludhiana,Industrial/Urban,30.91896,75.82913,81.54,73.52,9.83,19.7,SAFE,0
TX-0173,Mullanpur,Rural/Agricultural,30.78118,76.68367,61.35,44.58,27.33,96.4,CRITICAL,1
TX-0174,Mullanpur,Rural/Agricultural,30.78187,76.64457,57.5,49.89,13.24,26.5,SAFE,0
TX-0175,Amritsar,Commercial/Old City,31.66196,74.85731,47.98,42.28,11.87,23.7,SAFE,0
TX-0176,Jalandhar,Mixed Urban,31.37549,75.54359,72.49,61.99,14.48,29.0,SAFE,0
TX-0177,Patiala,Residential/Institutional,30.37138,76.35934,319.73,279.71,12.52,25.0,SAFE,0
TX-0178,Bathinda,Thermal/Industrial,30.17015,74.98325,129.47,119.64,7.59,15.2,SAFE,0
TX-0179,Amritsar,Commercial/Old City,31.67021,74.90325,343.24,307.79,10.33,20.7,SAFE,0
TX-0180,Jalandhar,Mixed Urban,31.31327,75.55218,36.26,31.09,14.25,28.5,SAFE,0
TX-0181,Bathinda,Thermal/Industrial,30.25045,74.99465,71.84,63.83,11.15,22.3,SAFE,0
TX-0182,Amritsar,Commercial/Old City,31.64113,74.88851,296.41,254.29,14.21,28.4,SAFE,0
TX-0183,Patiala,Residential/Institutional,30.37662,76.36143,167.51,147.17,12.14,24.3,SAFE,0
TX-0184,Ludhiana,Industrial/Urban,30.94401,75.81788,160.17,141.39,11.73,23.5,SAFE,0
TX-0185,Amritsar,Commercial/Old City,31.63055,74.91021,60.12,52.11,13.33,26.7,SAFE,0
TX-0186,Amritsar,Commercial/Old City,31.6658,74.90551,40.5,36.83,9.05,18.1,SAFE,0
TX-0187,Patiala,Residential/Institutional,30.38792,76.40008,136.11,119.75,12.02,24.0,SAFE,0
TX-0188,Mullanpur,Rural/Agricultural,30.74943,76.59514,54.69,45.33,17.11,34.2,WARNING,0
TX-0189,Mullanpur,Rural/Agricultural,30.79647,76.67218,312.05,265.38,14.96,29.9,SAFE,0
TX-0190,Ludhiana,Industrial/Urban,30.9281,75.87816,67.07,62.84,6.3,12.6,SAFE,0
TX-0191,Amritsar,Commercial/Old City,31.68301,74.88991,319.96,276.99,13.43,26.9,SAFE,0
TX-0192,Bathinda,Thermal/Industrial,30.16321,74.92786,164.4,152.39,7.31,14.6,SAFE,0
TX-0193,Amritsar,Commercial/Old City,31.61136,74.92201,37.34,32.89,11.93,23.9,SAFE,0
TX-0194,Bathinda,Thermal/Industrial,30.23037,74.91758,80.73,74.15,8.15,16.3,SAFE,0
TX-0195,Patiala,Residential/Institutional,30.38489,76.35201,317.6,185.1,41.72,97.0,CRITICAL,1
TX-0196,Patiala,Residential/Institutional,30.31722,76.4353,41.75,36.93,11.55,23.1,SAFE,0
TX-0197,Patiala,Residential/Institutional,30.29291,76.40207,296.03,265.74,10.23,20.5,SAFE,0
TX-0198,Jalandhar,Mixed Urban,31.29455,75.61306,38.38,33.98,11.45,22.9,SAFE,0
TX-0199,Patiala,Residential/Institutional,30.36948,76.36632,341.87,301.26,11.88,23.8,SAFE,0
TX-0200,Ludhiana,Industrial/Urban,30.85112,75.86713,77.94,72.25,7.3,14.6,SAFE,0
TX-0201,Ludhiana,Industrial/Urban,30.86708,75.87245,40.7,37.44,8.02,16.0,SAFE,0
TX-0202,Bathinda,Thermal/Industrial,30.17596,74.94196,68.56,60.88,11.2,22.4,SAFE,0
TX-0203,Patiala,Residential/Institutional,30.3593,76.42291,85.05,75.21,11.57,23.1,SAFE,0
TX-0204,Ludhiana,Industrial/Urban,30.8752,75.90597,226.35,209.68,7.37,14.7,SAFE,0
TX-0205,Ludhiana,Industrial/Urban,30.90696,75.80828,233.27,205.89,11.74,23.5,SAFE,0
TX-0206,Mullanpur,Rural/Agricultural,30.72442,76.60116,66.31,48.66,26.62,89.4,CRITICAL,1
TX-0207,Amritsar,Commercial/Old City,31.58812,74.88934,305.46,278.87,8.71,17.4,SAFE,0
TX-0208,Mullanpur,Rural/Agricultural,30.78276,76.65459,49.57,40.83,17.64,35.3,WARNING,0
TX-0209,Mullanpur,Rural/Agricultural,30.79944,76.65453,117.13,97.73,16.56,33.1,WARNING,0
TX-0210,Amritsar,Commercial/Old City,31.66238,74.87039,145.69,132.53,9.03,18.1,SAFE,0
TX-0211,Mullanpur,Rural/Agricultural,30.78043,76.65833,52.86,42.63,19.34,38.7,WARNING,0
TX-0212,Jalandhar,Mixed Urban,31.35043,75.61338,48.56,42.92,11.61,23.2,SAFE,0
TX-0213,Amritsar,Commercial/Old City,31.64933,74.85553,348.77,314.6,9.8,19.6,SAFE,0
TX-0214,Patiala,Residential/Institutional,30.31186,76.37874,128.49,112.63,12.34,24.7,SAFE,0
TX-0215,Amritsar,Commercial/Old City,31.65827,74.86485,318.12,280.64,11.78,23.6,SAFE,0
TX-0216,Amritsar,Commercial/Old City,31.6707,74.88017,227.76,199.43,12.44,24.9,SAFE,0
TX-0217,Amritsar,Commercial/Old City,31.6633,74.8878,149.91,109.67,26.85,87.4,CRITICAL,1
TX-0218,Bathinda,Thermal/Industrial,30.23431,74.90866,275.88,244.4,11.41,22.8,SAFE,0
TX-0219,Mullanpur,Rural/Agricultural,30.81824,76.6114,36.67,31.67,13.63,27.3,SAFE,0
TX-0220,Bathinda,Thermal/Industrial,30.20553,74.94698,48.64,43.03,11.54,23.1,SAFE,0
TX-0221,Ludhiana,Industrial/Urban,30.94794,75.83311,35.46,31.95,9.89,19.8,SAFE,0
TX-0222,Jalandhar,Mixed Urban,31.37298,75.57158,168.56,151.45,10.15,20.3,SAFE,0
TX-0223,Bathinda,Thermal/Industrial,30.1947,74.97839,44.34,38.37,13.47,26.9,SAFE,0
TX-0224,Ludhiana,Industrial/Urban,30.8677,75.82406,47.49,42.99,9.47,18.9,SAFE,0
TX-0225,Ludhiana,Industrial/Urban,30.93542,75.88787,334.62,302.8,9.51,19.0,SAFE,0
TX-0226,Jalandhar,Mixed Urban,31.30297,75.53191,126.79,111.37,12.16,24.3,SAFE,0
TX-0227,Patiala,Residential/Institutional,30.33502,76.43029,37.36,33.19,11.17,22.3,SAFE,0
TX-0228,Jalandhar,Mixed Urban,31.37466,75.62271,113.11,96.91,14.33,28.7,SAFE,0
TX-0229,Patiala,Residential/Institutional,30.33868,76.40359,240.09,221.77,7.63,15.3,SAFE,0
TX-0230,Amritsar,Commercial/Old City,31.60419,74.88964,62.03,56.13,9.52,19.0,SAFE,0
TX-0231,Mullanpur,Rural/Agricultural,30.80791,76.61101,77.17,53.55,30.61,70.5,CRITICAL,1
TX-0232,Amritsar,Commercial/Old City,31.64578,74.90919,322.37,278.3,13.67,27.3,SAFE,0
TX-0233,Jalandhar,Mixed Urban,31.34365,75.54777,329.84,291.07,11.75,23.5,SAFE,0
TX-0234,Mullanpur,Rural/Agricultural,30.78688,76.69324,66.18,53.3,19.46,38.9,WARNING,0
TX-0235,Bathinda,Thermal/Industrial,30.23924,74.9522,37.48,32.88,12.27,24.5,SAFE,0
TX-0236,Jalandhar,Mixed Urban,31.34276,75.60698,84.09,72.62,13.65,27.3,SAFE,0
TX-0237,Ludhiana,Industrial/Urban,30.86302,75.86175,41.9,37.73,9.96,19.9,SAFE,0
TX-0238,Bathinda,Thermal/Industrial,30.19904,74.95035,40.07,36.55,8.78,17.6,SAFE,0
TX-0239,Amritsar,Commercial/Old City,31.64271,74.83914,75.82,67.51,10.97,21.9,SAFE,0
TX-0240,Amritsar,Commercial/Old City,31.67915,74.90702,227.28,202.35,10.97,21.9,SAFE,0
TX-0241,Amritsar,Commercial/Old City,31.63666,74.84691,301.81,260.21,13.78,27.6,SAFE,0
TX-0242,Amritsar,Commercial/Old City,31.65555,74.87442,39.23,34.24,12.71,25.4,SAFE,0
TX-0243,Jalandhar,Mixed Urban,31.37147,75.59167,115.86,81.0,30.09,72.8,CRITICAL,1
TX-0244,Bathinda,Thermal/Industrial,30.22274,74.94781,65.83,58.72,10.8,21.6,SAFE,0
TX-0245,Amritsar,Commercial/Old City,31.64503,74.89392,54.97,48.43,11.9,23.8,SAFE,0
TX-0246,Jalandhar,Mixed Urban,31.29414,75.57872,130.9,118.85,9.2,18.4,SAFE,0
TX-0247,Jalandhar,Mixed Urban,31.31845,75.5349,73.61,64.69,12.12,24.2,SAFE,0
TX-0248,Patiala,Residential/Institutional,30.29006,76.4007,53.11,48.82,8.08,16.2,SAFE,0
TX-0249,Amritsar,Commercial/Old City,31.60148,74.85838,84.8,76.29,10.04,20.1,SAFE,0
TX-0250,Bathinda,Thermal/Industrial,30.19121,74.9687,278.24,256.2,7.92,15.8,SAFE,0
TX-0251,Jalandhar,Mixed Urban,31.29097,75.56859,38.67,33.41,13.61,27.2,SAFE,0
TX-0252,Bathinda,Thermal/Industrial,30.17057,74.89786,126.74,112.23,11.45,22.9,SAFE,0
TX-0253,Ludhiana,Industrial/Urban,30.89009,75.86675,60.54,54.56,9.88,19.8,SAFE,0
